t, u
1.542451317355999947e+09,0.000000000000000000e+00
1.542451347357000113e+09,0.000000000000000000e+00
1.542451377357000113e+09,0.000000000000000000e+00
1.542451407358000040e+09,0.000000000000000000e+00
1.542451437358000040e+09,0.000000000000000000e+00
1.542451467358999968e+09,0.000000000000000000e+00
1.542451497358999968e+09,0.000000000000000000e+00
1.542451527359999895e+09,0.000000000000000000e+00
1.542451575052999973e+09,0.000000000000000000e+00
1.542451605052999973e+09,0.000000000000000000e+00
1.542451635053999901e+09,0.000000000000000000e+00
1.542451665055000067e+09,0.000000000000000000e+00
1.542451695055000067e+09,0.000000000000000000e+00
1.542451725055999994e+09,0.000000000000000000e+00
1.542451755055999994e+09,0.000000000000000000e+00
1.542451785056999922e+09,0.000000000000000000e+00
1.542451815056999922e+09,0.000000000000000000e+00
1.542451845059000015e+09,0.000000000000000000e+00
1.542451889299999952e+09,0.000000000000000000e+00
1.542451919301000118e+09,0.000000000000000000e+00
1.542451949301000118e+09,0.000000000000000000e+00
1.542451979302000046e+09,0.000000000000000000e+00
1.542452009302000046e+09,0.000000000000000000e+00
1.542452039302999973e+09,0.000000000000000000e+00
1.542452069303999901e+09,0.000000000000000000e+00
1.542452099303999901e+09,0.000000000000000000e+00
1.542452129305000067e+09,0.000000000000000000e+00
1.542452159305000067e+09,0.000000000000000000e+00
1.542452202302000046e+09,0.000000000000000000e+00
1.542452232302999973e+09,0.000000000000000000e+00
1.542452262302999973e+09,0.000000000000000000e+00
1.542452292303999901e+09,0.000000000000000000e+00
1.542452322303999901e+09,0.000000000000000000e+00
1.542452352305000067e+09,0.000000000000000000e+00
1.542452382305999994e+09,0.000000000000000000e+00
1.542452412305999994e+09,0.000000000000000000e+00
1.542452442306999922e+09,0.000000000000000000e+00
1.542452472306999922e+09,0.000000000000000000e+00
1.542452518519999981e+09,0.000000000000000000e+00
1.542452548520999908e+09,0.000000000000000000e+00
1.542452578520999908e+09,0.000000000000000000e+00
1.542452608522000074e+09,0.000000000000000000e+00
1.542452638522000074e+09,0.000000000000000000e+00
1.542452668523000002e+09,0.000000000000000000e+00
1.542452698523999929e+09,0.000000000000000000e+00
1.542452728523999929e+09,0.000000000000000000e+00
1.542452758525000095e+09,0.000000000000000000e+00
1.542452788525000095e+09,0.000000000000000000e+00
1.542452830528000116e+09,0.000000000000000000e+00
1.542452860528000116e+09,0.000000000000000000e+00
1.542452890529000044e+09,0.000000000000000000e+00
